name,age,city,salary
Priya,25.0,Chennai,40000.0
Rahul,20.0,Chennai,70000.0
John,23.0,Bangalore,60000.0
Aisha,,Chennai,70000.0
Ali,20.0,Hyderabad,70000.0
Rahul,22.0,Mumbai,60000.0
Rahul,20.0,Delhi,60000.0
Priya,24.0,Hyderabad,
Ali,22.0,Delhi,50000.0
Aisha,25.0,Pune,70000.0
Karan,23.0,Chennai,60000.0
Karan,22.0,Delhi,
John,,,50000.0
Karan,24.0,Mumbai,
Ali,,Mumbai,70000.0
Daniyal,,Bangalore,50000.0
Priya,22.0,,50000.0
Priya,24.0,Chennai,40000.0
Karan,,Hyderabad,70000.0
Priya,22.0,Mumbai,60000.0
Rahul,21.0,,40000.0
Daniyal,20.0,Hyderabad,40000.0
Rahul,21.0,Pune,70000.0
Priya,23.0,Delhi,40000.0
Sara,20.0,Delhi,40000.0
Ali,,Pune,
Daniyal,22.0,Mumbai,40000.0
Rahul,25.0,Pune,50000.0
Daniyal,,Mumbai,
Sara,20.0,Bangalore,40000.0
Karan,22.0,,70000.0
Rahul,24.0,Bangalore,50000.0
Sara,21.0,Chennai,50000.0
Karan,20.0,Chennai,40000.0
Rahul,21.0,Chennai,60000.0
Ali,21.0,Delhi,60000.0
Sara,22.0,Pune,50000.0
Daniyal,21.0,Chennai,70000.0
Priya,22.0,Pune,50000.0
Aisha,20.0,Hyderabad,
Ali,21.0,Mumbai,60000.0
Daniyal,23.0,Delhi,60000.0
Aisha,21.0,Chennai,
Sara,22.0,Pune,70000.0
Daniyal,22.0,Delhi,
Karan,22.0,Hyderabad,
Sara,,Mumbai,
Priya,,Chennai,70000.0
Rahul,25.0,Mumbai,50000.0
John,21.0,Chennai,50000.0
Ali,25.0,Chennai,50000.0
Rahul,21.0,,50000.0
Karan,25.0,Mumbai,70000.0
Karan,,Mumbai,50000.0
Aisha,23.0,Hyderabad,40000.0
Ali,21.0,Chennai,50000.0
Rahul,,Pune,40000.0
Karan,21.0,Hyderabad,40000.0
Ali,20.0,Pune,
Rahul,20.0,Pune,60000.0
Sara,24.0,Chennai,50000.0
Ali,25.0,Bangalore,60000.0
Priya,24.0,,50000.0
Karan,23.0,Bangalore,40000.0
Priya,25.0,Bangalore,70000.0
Priya,23.0,Bangalore,60000.0
Karan,25.0,,70000.0
Priya,20.0,Hyderabad,70000.0
Karan,,Delhi,
John,20.0,,60000.0
Aisha,24.0,,50000.0
Daniyal,20.0,,50000.0
Karan,25.0,,50000.0
Ali,25.0,Mumbai,50000.0
Rahul,25.0,Bangalore,40000.0
Daniyal,24.0,,50000.0
Rahul,,Chennai,60000.0
Priya,21.0,Pune,40000.0
Aisha,23.0,Delhi,70000.0
Aisha,22.0,Chennai,
Karan,,Bangalore,60000.0
Sara,22.0,Mumbai,60000.0
Rahul,,Chennai,40000.0
Karan,23.0,Mumbai,50000.0
Daniyal,21.0,Hyderabad,70000.0
Aisha,21.0,Pune,40000.0
Karan,23.0,Chennai,40000.0
John,24.0,Chennai,
Daniyal,24.0,Bangalore,60000.0
Karan,20.0,,
Sara,20.0,Hyderabad,70000.0
Ali,,Mumbai,
Daniyal,24.0,,70000.0
Aisha,23.0,Delhi,40000.0
Aisha,24.0,Pune,
Karan,20.0,Chennai,
Karan,22.0,Hyderabad,50000.0
Priya,21.0,Pune,40000.0
Rahul,22.0,,
Priya,25.0,Chennai,40000.0
Sara,24.0,Pune,50000.0
Daniyal,21.0,,50000.0
Ali,25.0,,70000.0
John,24.0,Chennai,
Karan,22.0,Pune,50000.0
Priya,21.0,Chennai,
Ali,23.0,Bangalore,50000.0
Rahul,20.0,Pune,70000.0
Aisha,23.0,Hyderabad,
John,23.0,Mumbai,70000.0
John,23.0,Chennai,60000.0
John,,Hyderabad,
Karan,24.0,Hyderabad,40000.0
Daniyal,22.0,Delhi,70000.0
Priya,23.0,Bangalore,50000.0
Priya,,Hyderabad,
Sara,22.0,Delhi,60000.0
Ali,25.0,,
Ali,22.0,Pune,70000.0
Aisha,23.0,Pune,70000.0
Daniyal,25.0,Delhi,40000.0
Priya,24.0,Pune,40000.0
Daniyal,21.0,Hyderabad,60000.0
Rahul,24.0,Hyderabad,60000.0
Daniyal,24.0,Bangalore,70000.0
Ali,24.0,Chennai,70000.0
Sara,24.0,Pune,40000.0
Aisha,25.0,Pune,50000.0
Priya,,Mumbai,40000.0
Ali,22.0,,50000.0
Ali,24.0,Bangalore,70000.0
John,22.0,Chennai,40000.0
John,24.0,Pune,60000.0
Rahul,,Mumbai,70000.0
John,22.0,Bangalore,40000.0
John,24.0,Hyderabad,
Rahul,24.0,,40000.0
Sara,20.0,Bangalore,60000.0
Rahul,24.0,Mumbai,
Sara,24.0,Pune,
Rahul,21.0,Delhi,60000.0
Karan,25.0,Chennai,60000.0
John,23.0,Pune,60000.0
Aisha,23.0,,60000.0
John,25.0,Mumbai,70000.0
Karan,22.0,Bangalore,50000.0
John,25.0,Bangalore,50000.0
John,24.0,Hyderabad,50000.0
John,20.0,Mumbai,40000.0
John,,Bangalore,50000.0
Ali,22.0,,60000.0
Rahul,24.0,Bangalore,50000.0
Daniyal,,Mumbai,
Daniyal,,Chennai,70000.0
Daniyal,,Bangalore,40000.0
Karan,25.0,Bangalore,40000.0
Rahul,24.0,Bangalore,70000.0
Karan,25.0,Chennai,50000.0
Daniyal,24.0,Pune,70000.0
Ali,20.0,Pune,50000.0
Karan,,,60000.0
John,,Hyderabad,
Karan,,Hyderabad,70000.0
Daniyal,,Bangalore,
John,20.0,Hyderabad,
Aisha,23.0,Mumbai,
Priya,24.0,Pune,60000.0
John,24.0,Pune,60000.0
Aisha,24.0,Delhi,50000.0
Rahul,24.0,Pune,60000.0
Daniyal,,,70000.0
Daniyal,20.0,Chennai,60000.0
Aisha,22.0,Hyderabad,70000.0
Aisha,21.0,Chennai,40000.0
John,24.0,Bangalore,40000.0
Ali,23.0,Hyderabad,
Daniyal,20.0,Chennai,70000.0
Priya,20.0,Pune,60000.0
Daniyal,25.0,Delhi,50000.0
John,21.0,Mumbai,60000.0
Rahul,20.0,Chennai,60000.0
Daniyal,21.0,Pune,
Rahul,20.0,Chennai,40000.0
Ali,20.0,Bangalore,
Priya,20.0,Hyderabad,70000.0
Priya,22.0,Delhi,
Karan,21.0,,50000.0
Priya,23.0,,70000.0
Priya,20.0,Delhi,70000.0
Rahul,21.0,Pune,
Daniyal,25.0,Chennai,60000.0
Aisha,22.0,Mumbai,70000.0
Sara,23.0,Pune,60000.0
Rahul,24.0,,
Aisha,,Chennai,50000.0
Sara,23.0,Bangalore,60000.0
Priya,21.0,Bangalore,60000.0
Sara,25.0,,60000.0
Ali,23.0,Bangalore,40000.0
Aisha,20.0,Pune,70000.0
Priya,21.0,Hyderabad,40000.0
Daniyal,20.0,Chennai,70000.0
Ali,22.0,,40000.0
Ali,24.0,Chennai,
Aisha,25.0,Hyderabad,
Sara,25.0,Pune,50000.0
John,21.0,Mumbai,70000.0
John,20.0,Delhi,70000.0
John,21.0,Hyderabad,
Priya,,Hyderabad,40000.0
Sara,24.0,Mumbai,
John,23.0,Mumbai,40000.0
Karan,23.0,Pune,
John,23.0,Mumbai,40000.0
John,22.0,,
Priya,23.0,Chennai,50000.0
Ali,,Hyderabad,70000.0
Sara,,,50000.0
Daniyal,22.0,Bangalore,70000.0
Sara,23.0,Bangalore,40000.0
Rahul,22.0,,40000.0
