name,age,city,salary
John,24.0,Hyderabad,60000.0
Aisha,25.0,Mumbai,
Priya,22.0,Pune,40000.0
Rahul,22.0,Hyderabad,60000.0
Sara,25.0,Hyderabad,70000.0
Sara,25.0,Pune,70000.0
Sara,22.0,Hyderabad,50000.0
Aisha,25.0,Hyderabad,50000.0
Daniyal,24.0,Bangalore,
Daniyal,24.0,Mumbai,
John,21.0,Hyderabad,60000.0
Priya,,Pune,60000.0
Karan,24.0,Chennai,40000.0
Ali,22.0,Mumbai,
Karan,24.0,Hyderabad,60000.0
Rahul,,Bangalore,70000.0
Karan,,Delhi,50000.0
Karan,23.0,,
Daniyal,20.0,Pune,70000.0
Sara,24.0,Hyderabad,70000.0
Rahul,21.0,,70000.0
Aisha,25.0,,40000.0
John,21.0,Hyderabad,
John,24.0,Hyderabad,60000.0
Karan,23.0,Bangalore,50000.0
Priya,22.0,Hyderabad,40000.0
Priya,25.0,Bangalore,60000.0
Priya,21.0,Chennai,50000.0
Sara,,,40000.0
John,20.0,Delhi,
Sara,25.0,Hyderabad,60000.0
Ali,23.0,Hyderabad,70000.0
Rahul,20.0,Delhi,70000.0
Sara,22.0,Mumbai,40000.0
Aisha,,Chennai,50000.0
John,22.0,Chennai,50000.0
Sara,24.0,Chennai,
Sara,,,40000.0
Sara,23.0,Pune,70000.0
John,24.0,Pune,
Aisha,24.0,Bangalore,
Rahul,23.0,Bangalore,40000.0
Daniyal,20.0,Mumbai,70000.0
Sara,23.0,Chennai,40000.0
Rahul,21.0,,50000.0
Priya,,Delhi,
Priya,24.0,Bangalore,70000.0
Rahul,22.0,Delhi,60000.0
Daniyal,24.0,Mumbai,70000.0
John,25.0,Chennai,40000.0
Daniyal,25.0,Mumbai,70000.0
Priya,23.0,Chennai,
Priya,24.0,Chennai,
Karan,23.0,Mumbai,50000.0
Daniyal,20.0,Pune,60000.0
Sara,25.0,Delhi,60000.0
John,25.0,Hyderabad,60000.0
Ali,,Delhi,
Rahul,,Mumbai,40000.0
Ali,21.0,Delhi,
Priya,25.0,Hyderabad,
John,24.0,Delhi,
Sara,,Delhi,50000.0
Ali,23.0,Chennai,
Rahul,22.0,Pune,50000.0
John,23.0,Delhi,60000.0
Aisha,,Chennai,50000.0
Ali,25.0,Bangalore,40000.0
Priya,23.0,Delhi,40000.0
Ali,23.0,Pune,
Priya,25.0,,
Daniyal,24.0,Bangalore,60000.0
Daniyal,24.0,Hyderabad,50000.0
Rahul,21.0,Pune,40000.0
Rahul,22.0,Bangalore,
Sara,23.0,Delhi,70000.0
Daniyal,21.0,Mumbai,
Sara,23.0,Bangalore,40000.0
Sara,25.0,Mumbai,40000.0
John,22.0,Delhi,50000.0
Aisha,22.0,Bangalore,40000.0
John,22.0,Bangalore,40000.0
Priya,23.0,Mumbai,
John,23.0,Delhi,50000.0
Ali,23.0,Mumbai,40000.0
Daniyal,25.0,Pune,70000.0
Aisha,20.0,Pune,50000.0
Karan,25.0,Chennai,70000.0
Daniyal,,,70000.0
Sara,22.0,Hyderabad,70000.0
Rahul,20.0,Mumbai,
Rahul,,Chennai,70000.0
John,,,40000.0
Rahul,25.0,Pune,60000.0
Rahul,20.0,Delhi,40000.0
Priya,,,70000.0
John,22.0,Delhi,60000.0
Aisha,22.0,,60000.0
Ali,24.0,,50000.0
Priya,20.0,Chennai,60000.0
Ali,,Mumbai,60000.0
Daniyal,24.0,Hyderabad,60000.0
Aisha,21.0,Pune,50000.0
Priya,24.0,Chennai,
Daniyal,24.0,Bangalore,60000.0
Priya,22.0,Chennai,60000.0
Aisha,,Bangalore,70000.0
Sara,24.0,Bangalore,60000.0
Sara,,Bangalore,50000.0
Daniyal,21.0,Mumbai,50000.0
Aisha,22.0,Bangalore,50000.0
Rahul,24.0,Hyderabad,60000.0
Karan,24.0,,50000.0
Karan,20.0,Bangalore,70000.0
Sara,,Chennai,70000.0
Daniyal,25.0,,40000.0
Rahul,20.0,Chennai,40000.0
Sara,,,70000.0
Priya,24.0,Delhi,40000.0
Rahul,22.0,Delhi,
Daniyal,22.0,Hyderabad,60000.0
Ali,21.0,Hyderabad,70000.0
Karan,22.0,Chennai,50000.0
Sara,20.0,Delhi,60000.0
Ali,25.0,Mumbai,60000.0
Sara,23.0,Mumbai,
Priya,24.0,Hyderabad,40000.0
John,22.0,,40000.0
Priya,21.0,Pune,60000.0
Ali,25.0,Bangalore,70000.0
Sara,25.0,Mumbai,
Karan,24.0,Bangalore,70000.0
Karan,24.0,Pune,60000.0
Sara,23.0,,40000.0
Ali,23.0,Bangalore,50000.0
Daniyal,25.0,Chennai,70000.0
Karan,20.0,Bangalore,60000.0
John,20.0,Bangalore,40000.0
Priya,24.0,Pune,50000.0
Ali,,Hyderabad,
Ali,21.0,Mumbai,60000.0
Rahul,21.0,Hyderabad,40000.0
Priya,23.0,Pune,70000.0
Aisha,23.0,Bangalore,
Sara,24.0,Hyderabad,50000.0
Priya,22.0,Mumbai,40000.0
Ali,20.0,Delhi,
Priya,23.0,Pune,60000.0
Priya,21.0,Pune,40000.0
Rahul,25.0,Bangalore,50000.0
Ali,24.0,Mumbai,70000.0
Daniyal,22.0,,50000.0
Rahul,23.0,Bangalore,60000.0
Daniyal,21.0,Hyderabad,50000.0
Karan,25.0,Delhi,
Rahul,,,70000.0
Karan,23.0,Pune,60000.0
Daniyal,21.0,Bangalore,50000.0
Karan,23.0,Hyderabad,50000.0
Aisha,20.0,Bangalore,50000.0
John,21.0,Hyderabad,40000.0
Sara,25.0,Hyderabad,70000.0
Rahul,24.0,Delhi,60000.0
Rahul,25.0,Hyderabad,70000.0
Daniyal,,Mumbai,40000.0
Ali,23.0,Bangalore,40000.0
Sara,21.0,Hyderabad,
Karan,24.0,Chennai,50000.0
Sara,23.0,Delhi,
Aisha,21.0,,70000.0
John,21.0,,60000.0
Sara,22.0,Hyderabad,
Priya,22.0,,
Daniyal,21.0,Chennai,50000.0
Ali,21.0,,40000.0
Sara,24.0,Delhi,70000.0
Sara,,Delhi,40000.0
Rahul,23.0,Mumbai,50000.0
Aisha,22.0,Delhi,50000.0
Ali,20.0,Delhi,60000.0
Sara,21.0,Hyderabad,60000.0
Daniyal,,Bangalore,40000.0
Rahul,21.0,Mumbai,60000.0
John,21.0,Delhi,
Aisha,24.0,Delhi,70000.0
Karan,22.0,Bangalore,60000.0
Ali,23.0,Chennai,70000.0
Karan,24.0,Hyderabad,
Karan,25.0,,70000.0
Aisha,,Pune,70000.0
Rahul,20.0,Hyderabad,70000.0
John,,Bangalore,60000.0
Ali,22.0,Bangalore,
John,25.0,Chennai,50000.0
Sara,23.0,Mumbai,
Ali,,Pune,60000.0
Sara,25.0,Chennai,50000.0
Ali,,,60000.0
John,20.0,Mumbai,70000.0
Sara,21.0,Mumbai,
Priya,20.0,Mumbai,40000.0
Priya,21.0,Pune,60000.0
Daniyal,23.0,Pune,40000.0
John,22.0,Bangalore,40000.0
Ali,,Pune,40000.0
Daniyal,24.0,Chennai,40000.0
Priya,22.0,,
Ali,25.0,Hyderabad,40000.0
Aisha,20.0,Delhi,70000.0
Priya,21.0,Delhi,50000.0
Aisha,21.0,Delhi,60000.0
Priya,23.0,Mumbai,50000.0
Rahul,22.0,Pune,40000.0
Priya,,Bangalore,40000.0
Priya,24.0,Hyderabad,
John,24.0,Delhi,40000.0
Karan,21.0,Delhi,70000.0
Aisha,,Pune,
Ali,24.0,Mumbai,40000.0
Priya,21.0,Delhi,
Priya,23.0,Chennai,60000.0
John,20.0,,60000.0
Karan,22.0,Mumbai,
Rahul,20.0,Delhi,
Ali,,Pune,40000.0
Daniyal,23.0,Chennai,50000.0
Daniyal,25.0,,
Priya,,Mumbai,40000.0
Rahul,,Delhi,
Rahul,20.0,Hyderabad,60000.0
Karan,20.0,Delhi,60000.0
Daniyal,22.0,Hyderabad,70000.0
Aisha,21.0,Mumbai,60000.0
Aisha,20.0,Pune,50000.0
Rahul,25.0,Chennai,70000.0
Aisha,23.0,Bangalore,60000.0
Sara,21.0,Hyderabad,50000.0
Aisha,23.0,Hyderabad,70000.0
Rahul,22.0,,60000.0
Priya,21.0,Pune,60000.0
Karan,,,
Aisha,20.0,Bangalore,
Karan,,Pune,
Daniyal,23.0,Hyderabad,
Daniyal,20.0,Bangalore,70000.0
Rahul,22.0,Chennai,40000.0
Sara,22.0,Mumbai,60000.0
Priya,25.0,Chennai,50000.0
Daniyal,,,
Daniyal,,Mumbai,40000.0
Rahul,23.0,Bangalore,
Karan,24.0,Mumbai,
Sara,20.0,Mumbai,40000.0
Daniyal,22.0,Pune,50000.0
Karan,20.0,Mumbai,60000.0
Aisha,20.0,Hyderabad,50000.0
Karan,25.0,Hyderabad,60000.0
Rahul,24.0,Mumbai,50000.0
John,,Pune,
Daniyal,25.0,Chennai,70000.0
John,24.0,Pune,40000.0
John,22.0,Hyderabad,40000.0
Sara,,Chennai,
Priya,20.0,Delhi,70000.0
Ali,24.0,Chennai,
Aisha,,Mumbai,40000.0
John,21.0,Delhi,50000.0
Karan,,Delhi,40000.0
Karan,25.0,Hyderabad,
